domainnumber,domainname,siteid,sitename,state
D10,"Central Plains",ARIK,"Arikaree River",Colorado
D10,"Central Plains",CPER,"Central Plains Experimental Range",Colorado
D10,"Central Plains",RMNP,"Rocky Mountain National Park, CASTNET",Colorado
D10,"Central Plains",STER,"North Sterling, CO",Colorado
D11,"Southern Plains",BLUE,"Blue River",Oklahoma
D11,"Southern Plains",CLBJ,"LBJ National Grassland ",Texas
D11,"Southern Plains",OAES,"Klemme Range Research Station",Oklahoma
D11,"Southern Plains",PRIN,"Pringle Creek",Texas
D12,"Northern Rockies",BLDE,"Blacktail Deer Creek",Wyoming
D12,"Northern Rockies",YELL,"Yellowstone Northern Range (Frog Rock)",Wyoming
D13,"Southern Rockies & Colorado Plateau",COMO,"Como Creek",Colorado
D13,"Southern Rockies & Colorado Plateau",MOAB,Moab,Utah
D13,"Southern Rockies & Colorado Plateau",NIWO,"Niwot Ridge Mountain Research Station",Colorado
D13,"Southern Rockies & Colorado Plateau",WLOU,"West St Louis Creek",Colorado
D14,"Desert Southwest",JORN,"Jornada LTER","New Mexico"
D14,"Desert Southwest",SRER,"Santa Rita Experimental Range",Arizona
D14,"Desert Southwest",SYCA,"Sycamore Creek",Arizona
D15,"Great Basin",ONAQ,Onaqui,Utah
D15,"Great Basin",REDB,"Red Butte Creek",Utah
D16,"Pacific Northwest",ABBY,"Abby Road",Washington
D16,"Pacific Northwest",MART,"Martha Creek",Washington
D16,"Pacific Northwest",MCRA,"McRae Creek",Oregon
D16,"Pacific Northwest",WREF,"Wind River Experimental Forest",Washington
D17,"Pacific Southwest",BIGC,"Upper Big Creek",California
D17,"Pacific Southwest",SJER,"San Joaquin Experimental Range",California
D17,"Pacific Southwest",SOAP,"Soaproot Saddle",California
D17,"Pacific Southwest",TEAK,"Lower Teakettle",California
D17,"Pacific Southwest",TECR,"Teakettle 2 Creek",California
D18,Tundra,BARR,"Barrow Environmental Observatory",Alaska
D18,Tundra,OKSR,"Oksrukuyik Creek",Alaska
D18,Tundra,TOOK,"Toolik Lake",Alaska
D18,Tundra,TOOL,Toolik,Alaska
D19,Taiga,BONA,"Caribou-Poker Creeks Research Watershed",Alaska
D19,Taiga,CARI,"Caribou Creek, Caribou-Poker Creeks Research Watershed",Alaska
D19,Taiga,DEJU,"Delta Junction",Alaska
D19,Taiga,HEAL,Healy,Alaska
D20,"Pacific Tropical",PUUM,"Pu'u Maka'ala Natural Area Reserve",Hawaii
